case_id,arch,anchored,pose,noise,weighted,nms_radius,n_peaks,rank
dram_anchored_pose-none_0000,dram,anchored,none,none,False,2,30,1
dram_anchored_pose-none_0000,dram,anchored,none,none,False,4,30,1
dram_anchored_pose-none_0000,dram,anchored,none,none,False,8,30,1
dram_anchored_pose-none_0000,dram,anchored,none,none,False,16,30,1
dram_anchored_pose-none_0000,dram,anchored,none,none,True,2,30,1
dram_anchored_pose-none_0000,dram,anchored,none,none,True,4,30,1
dram_anchored_pose-none_0000,dram,anchored,none,none,True,8,30,1
dram_anchored_pose-none_0000,dram,anchored,none,none,True,16,30,1
dram_anchored_pose-none_0001,dram,anchored,none,none,False,2,30,-1
dram_anchored_pose-none_0001,dram,anchored,none,none,False,4,30,-1
dram_anchored_pose-none_0001,dram,anchored,none,none,False,8,30,-1
dram_anchored_pose-none_0001,dram,anchored,none,none,False,16,30,-1
dram_anchored_pose-none_0001,dram,anchored,none,none,True,2,30,1
dram_anchored_pose-none_0001,dram,anchored,none,none,True,4,30,1
dram_anchored_pose-none_0001,dram,anchored,none,none,True,8,30,1
dram_anchored_pose-none_0001,dram,anchored,none,none,True,16,30,1
dram_anchored_pose-none_0002,dram,anchored,none,none,False,2,30,-1
dram_anchored_pose-none_0002,dram,anchored,none,none,False,4,30,-1
dram_anchored_pose-none_0002,dram,anchored,none,none,False,8,30,-1
dram_anchored_pose-none_0002,dram,anchored,none,none,False,16,30,-1
dram_anchored_pose-none_0002,dram,anchored,none,none,True,2,30,1
dram_anchored_pose-none_0002,dram,anchored,none,none,True,4,30,1
dram_anchored_pose-none_0002,dram,anchored,none,none,True,8,30,1
dram_anchored_pose-none_0002,dram,anchored,none,none,True,16,30,1
dram_anchored_pose-none_0003,dram,anchored,none,none,False,2,30,1
dram_anchored_pose-none_0003,dram,anchored,none,none,False,4,30,1
dram_anchored_pose-none_0003,dram,anchored,none,none,False,8,30,1
dram_anchored_pose-none_0003,dram,anchored,none,none,False,16,30,1
dram_anchored_pose-none_0003,dram,anchored,none,none,True,2,30,1
dram_anchored_pose-none_0003,dram,anchored,none,none,True,4,30,1
dram_anchored_pose-none_0003,dram,anchored,none,none,True,8,30,1
dram_anchored_pose-none_0003,dram,anchored,none,none,True,16,30,1
dram_anchored_pose-none_0004,dram,anchored,none,none,False,2,30,1
dram_anchored_pose-none_0004,dram,anchored,none,none,False,4,30,1
dram_anchored_pose-none_0004,dram,anchored,none,none,False,8,30,1
dram_anchored_pose-none_0004,dram,anchored,none,none,False,16,30,1
dram_anchored_pose-none_0004,dram,anchored,none,none,True,2,30,1
dram_anchored_pose-none_0004,dram,anchored,none,none,True,4,30,1
dram_anchored_pose-none_0004,dram,anchored,none,none,True,8,30,1
dram_anchored_pose-none_0004,dram,anchored,none,none,True,16,30,1
dram_anchored_pose-none_0005,dram,anchored,none,none,False,2,30,1
